,Actual Classifcation,Predicted Classification,a,b,c
0,1.0,5,0.9999192,39.53245901639344,0.0
1,1.0,1,0.9999192,-82.51540983606557,0.0
2,1.0,1,0.9999192,-80.51196721311476,0.0
3,1.0,1,0.9999192,-2.741967213114762,0.0
4,1.0,1,0.9999192,-85.42950819672132,0.0
5,1.0,1,0.9999192,-88.89,0.0
6,1.0,1,0.9999192,30.42590163934426,0.0
7,1.0,1,0.9999192,79.78344262295082,0.0
8,1.0,1,0.9999192,5.109672131147541,0.0
9,1.0,1,0.9999192,95.62885245901639,0.0
10,1.0,1,0.9999192,-56.83491803278689,0.0
11,1.0,1,0.9999192,-38.07540983606558,0.0
12,1.0,1,0.9999192,95.4467213114754,0.0
13,1.0,1,0.9999192,-5.8381967213114905,0.0
14,1.0,1,0.9999192,-36.07196721311476,0.0
15,1.0,1,0.9999192,-71.2232786885246,0.0
16,1.0,1,0.9999192,-42.628688524590174,0.0
17,1.0,1,0.9999192,-26.96540983606559,0.0
18,1.0,1,0.9999192,1.8313114754098359,0.0
19,1.0,1,0.9999192,-85.6116393442623,0.0
20,1.0,1,0.9999192,-11.30213114754099,0.0
21,1.0,1,0.9999192,81.78688524590163,0.0
22,1.0,1,0.9999192,-52.09950819672132,0.0
23,1.0,1,0.9999192,-61.570327868852466,0.0
24,1.0,1,0.9999192,2.924098360655737,0.0
25,1.0,1,0.9999192,31.33655737704918,0.0
26,1.0,1,0.9999192,-85.24737704918033,0.0
27,1.0,1,0.9999192,-34.4327868852459,0.0
28,1.0,1,0.9999192,27.693934426229507,0.0
29,1.0,1,0.9999192,60.295409836065566,0.0
30,1.0,1,0.9999192,-26.419016393442632,0.0
31,1.0,1,0.9999192,-67.94491803278689,0.0
32,1.0,1,0.9999192,-38.80393442622952,0.0
33,1.0,1,0.9999192,30.608032786885243,0.0
34,1.0,1,0.9999192,47.181967213114746,0.0
35,1.0,1,0.9999192,25.508360655737704,0.0
36,1.0,1,0.9999192,81.42262295081967,0.0
37,1.0,1,0.9999192,-42.44655737704919,0.0
38,1.0,1,0.9999192,51.18885245901639,0.0
39,1.0,1,0.9999192,-57.927704918032795,0.0
40,1.0,1,0.9999192,6.202459016393441,0.0
41,1.0,1,0.9999192,84.70098360655737,0.0
42,1.0,1,0.9999192,95.08245901639344,0.0
43,1.0,1,0.9999192,-84.88311475409836,0.0
44,1.0,1,0.9999192,80.14770491803279,0.0
45,1.0,1,0.9999192,-51.73524590163935,0.0
46,1.0,1,0.9999192,-66.67,0.0
47,1.0,1,0.9999192,-28.05819672131149,0.0
48,1.0,1,0.9999192,-85.06524590163934,0.0
49,1.0,5,0.9999192,15.673278688524588,0.0
50,1.0,1,0.9999192,-71.04114754098362,0.0
51,1.0,1,0.9999192,-40.80737704918033,0.0
52,1.0,1,0.9999192,-41.53590163934427,0.0
53,1.0,1,0.9999192,86.88655737704917,0.0
54,1.0,1,0.9999192,-4.016885245901648,0.0
55,1.0,1,0.9999192,78.8727868852459,0.0
56,1.0,1,0.9999192,-17.312459016393447,0.0
57,1.0,1,0.9999192,16.948196721311476,0.0
58,1.0,1,0.9999192,-89.9827868852459,0.0
59,1.0,1,0.9999192,59.02049180327868,0.0
